Vehicle Name,buying_price,selling_price,make_year,vehicle_age,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_powe_bhp,Seats
Mahindra Bolero SLX,9.26,3.25,2010,10,Individual,"3,50,000",First Owner,Diesel,Manual,13.6,,63,7
Honda City V MT,,10,2020,0,Dealer,"2,000",First Owner,Petrol,Manual,17.8,,119.35,5
Hyundai Creta 1.6 CRDi SX Option,12.11,13.5,2019,1,Individual,"31,700",First Owner,Diesel,Manual,19.67,,126.2,5
Maruti Omni E MPI STD BS IV,,2.05,2015,5,Dealer,"29,165",First Owner,Petrol,Manual,16.8,,34.2,8
Honda City i-VTEC CVT VX,,9,2017,3,Dealer,"59,000",First Owner,Petrol,Automatic,18,,117.6,5
Isuzu D-Max V-Cross 4X4,19.85,12.5,2017,3,Individual,"51,000",First Owner,Diesel,Manual,12.4,,134,5
Maruti Swift Dzire VDI,,4.8,2015,5,Individual,"77,500",First Owner,Diesel,Manual,26.59,,74,5
Maruti Swift LXI,6.36,5.39,2019,1,Individual,"8,000",First Owner,Petrol,Manual,21.21,,81.8,5
Ford Aspire 1.5 TDCi Titanium,9.69,6.9,2017,3,Dealer,"24,000",First Owner,Diesel,Manual,25.83,,99,5
Mahindra Ssangyong Rexton RX7,,8,2013,7,Individual,"1,60,000",First Owner,Diesel,Automatic,11.18,,184,7
Ford Ecosport 2015-2021 Signature Edition Diesel BSIV,10.31,10.25,2018,2,Dealer,"18,890",First Owner,Diesel,Manual,23,,98.96,5
Hyundai Grand i10 1.2 Kappa Sportz BSIV,6.92,5.25,2018,2,Individual,"5,000",First Owner,Petrol,Manual,18.9,,81.86,5
Hyundai EON 1.0 Era Plus,,3.35,2018,2,Dealer,"39,000",First Owner,Petrol,Manual,20.3,,68.05,5
Hyundai i10 Asta 1.2 AT with Sunroof,7.01,3.85,2012,8,Dealer,"41,000",First Owner,Petrol,Automatic,19.2,,80,5
Maruti Wagon R LX,5.3,2.9,2014,6,Individual,"40,330",First Owner,Petrol,Manual,20.51,,67.04,5
BMW X1 sDrive20d xLine,,34.5,2019,1,Dealer,"40,000",First Owner,Diesel,Automatic,19.62,,192,5
Skoda Rapid 1.5 TDI Active,,6.35,2016,4,Dealer,"98,000",First Owner,Diesel,Manual,21.14,,103.52,5
BMW X3 xDrive20d,74.41,26.75,2014,6,Dealer,"66,000",First Owner,Diesel,Automatic,16.09,,184,5
Tata Nexon 1.5 Revotorq XZ Plus,9.71,9.5,2018,2,Individual,"50,000",First Owner,Diesel,Manual,21.5,,108.5,5
Maruti Celerio ZXI AT,,5.45,2018,2,Dealer,"36,000",First Owner,Petrol,Automatic,23.1,,67.04,5
Mahindra Quanto C2,,3,2013,7,Individual,"70,000",First Owner,Diesel,Manual,17.21,,100,7
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,,8.25,2010,10,Individual,"1,25,654",First Owner,Diesel,Manual,10.5,,107.2,6
Ford Figo Diesel Titanium,9.2,3.25,2014,6,Dealer,"77,000",First Owner,Diesel,Manual,20,,68.05,5
Maruti Wagon R VXI,5.57,4.25,2016,4,Dealer,"58,802",First Owner,Petrol,Manual,18.9,,67.1,5
Ford Ecosport 2015-2021 1.5 Diesel Trend Plus BSIV,,8.25,2018,2,Dealer,"38,959",First Owner,Diesel,Manual,23,,98.96,5
Tata Indigo LX TDI BSIII,,2.5,2012,8,Individual,"1,00,000",First Owner,Diesel,Manual,19.09,,69,5
Maruti Alto 800 VXI Optional,,3.49,2018,2,Dealer,"37,000",First Owner,Petrol,Manual,24.7,,47.3,5
Toyota Etios Liva GD,,3.25,2012,8,Individual,"70,000",First Owner,Diesel,Manual,23.59,,null ,5
Volkswagen Vento 1.2 TSI Highline AT,10.57,7.5,2015,5,Dealer,"56,000",First Owner,Petrol,Automatic,18.19,,103.2,5
Maruti Swift Dzire VDI,,5.8,2013,7,Dealer,"91,000",First Owner,Diesel,Manual,23.4,,74,5
Toyota Fortuner 3.0 Diesel,38.8,12.5,2010,10,Dealer,"1,10,000",First Owner,Diesel,Manual,11.5,,171,7
Volkswagen Polo 2015-2019 1.5 TDI Highline,,6.15,2017,3,Individual,"1,00,000",First Owner,Diesel,Manual,20.14,,88,5
Hyundai i10 Sportz 1.2 AT,,3.7,2012,8,Dealer,"68,000",First Owner,Petrol,Automatic,16.95,,78.9,5
Chevrolet Sail Hatchback Petrol LT ABS,,2.35,2013,7,Individual,"53,000",First Owner,Petrol,Manual,18.2,,84.8,5
Maruti Wagon R VXI,,1.6,2007,13,Dealer,"78,000",First Owner,Petrol,Manual,18.9,,67.1,5
Maruti Alto K10 VXI,,3.7,2019,1,Individual,"20,000",First Owner,Petrol,Manual,23.95,,67.05,5
Audi A6 2.0 TDI Premium Plus,,15.5,2011,9,Individual,"85,000",First Owner,Diesel,Automatic,17.68,,174.33,5
Fiat Grande Punto EVO 1.3 Active,,4.15,2014,6,Dealer,"55,000",First Owner,Diesel,Manual,21.2,,75,5
Hyundai Elantra CRDi SX AT,22.62,7.5,2013,7,Dealer,"60,000",First Owner,Diesel,Automatic,19.5,,126.24,5
Hyundai i20 Asta Option 1.2,7.98,6,2016,4,Individual,"30,000",First Owner,Petrol,Manual,18.6,,81.83,5
Renault Lodgy 85PS RxZ,,7.25,2015,5,Dealer,"33,400",First Owner,Diesel,Manual,21.04,,83.8,8
Hyundai Creta 1.6 VTVT SX Plus,11.68,11.5,2017,3,Dealer,"34,800",First Owner,Petrol,Manual,13,,121.3,5
Skoda Superb Style 1.8 TSI AT,36.92,19.5,2017,3,Dealer,"30,000",First Owner,Petrol,Automatic,14.67,,177.46,5
Honda City i VTEC E,,5.75,2013,7,Dealer,"38,000",First Owner,Petrol,Manual,17.8,,117.3,5
Toyota Fortuner 4x2 Manual,,17,2015,5,Dealer,"1,24,000",First Owner,Diesel,Manual,13,,168.5,7
Chevrolet Tavera Neo 2 LT L 9 Str,,2.85,2012,8,Dealer,"72,545",First Owner,Diesel,Manual,14.8,,80,9
Ford Figo Diesel EXI,9.2,1.95,2012,8,Individual,"70,000",First Owner,Diesel,Manual,20,,68,5
Hyundai i10 Sportz 1.1L,,4.45,2016,4,Dealer,"50,979",First Owner,Petrol,Manual,19.81,,68.05,5
Maruti Ertiga SHVS VDI,,7,2016,4,Dealer,"65,000",First Owner,Diesel,Manual,24.52,,88.5,7
Maruti Swift Dzire Vdi BSIV,,4.1,2015,5,Dealer,"45,782",First Owner,Diesel,Manual,19.3,,73.9,5
Toyota Innova 2.5 V Diesel 8-seater,,5,2008,12,Individual,"2,70,000",First Owner,Diesel,Manual,12.8,,102,8
Maruti Baleno Alpha,6.75,6.45,2017,3,Dealer,"26,917",First Owner,Petrol,Manual,21.01,,81.8,5
Maruti Alto LXi BSIII,,1.15,2010,10,Individual,"35,000",First Owner,Petrol,Manual,19.7,,46.3,5
BMW 3 Series 320d Prestige,51.48,13.75,2013,7,Dealer,"90,000",First Owner,Diesel,Automatic,18.88,,184,5
Skoda Superb Elegance 2.0 TDI CR AT,,5.75,2010,10,Dealer,"1,54,667",First Owner,Diesel,Automatic,17.2,,138.1,5
Maruti Alto 800 LXI,3.54,2.62,2013,7,Individual,"15,000",First Owner,Petrol,Manual,22.74,,47.3,5
Honda Jazz 1.5 SV i DTEC,,6.25,2017,3,Dealer,"70,000",First Owner,Diesel,Manual,27.3,,98.6,5
Maruti Vitara Brezza VDi,,7.85,2017,3,Dealer,"83,000",First Owner,Diesel,Manual,24.3,,88.5,5
Maruti Swift Dzire VDI,,5.1,2015,5,Individual,"61,000",First Owner,Diesel,Manual,26.59,,74,5
Maruti Wagon R LXI BSIII,5.57,2.05,2008,12,Dealer,"64,521",First Owner,Petrol,Manual,14,,64,5
Maruti Vitara Brezza VDi Option,,9,2018,2,Individual,"11,000",First Owner,Diesel,Manual,24.3,,88.5,5
Hyundai Verna 1.6 CRDI,12.96,5.5,2013,7,Individual,"70,000",First Owner,Diesel,Manual,22.32,,126.3,5
Kia Seltos GTX Plus,,16.35,2019,1,Individual,"6,000",First Owner,Petrol,Manual,16.1,,138,5
Ford Endeavour 3.2 Titanium AT 4X4,35.85,30,2018,2,Individual,"25,000",First Owner,Diesel,Automatic,10.91,,197,7
Toyota Innova 2.5 G (Diesel) 8 Seater,,11.5,2016,4,Individual,"1,39,000",First Owner,Diesel,Manual,12.99,,100.6,8
Maruti Wagon R VXI BSIII,5.39,2.9,2011,9,Dealer,"69,001",First Owner,Petrol,Manual,17.3,,64,5
Tata Bolt Revotron XM,,3.5,2016,4,Individual,"70,000",First Owner,Petrol,Manual,17.57,,88.7,5
Maruti Swift ZXI,6.24,6.1,2018,2,Individual,"20,000",First Owner,Petrol,Manual,22,,81.8,5
Maruti Vitara Brezza VDi,,8.14,2017,3,Dealer,"56,000",First Owner,Diesel,Manual,24.3,,88.5,5
Maruti Swift LDI,,3.9,2012,8,Dealer,"60,000",First Owner,Diesel,Manual,22.9,,74,5
Hyundai Verna SX CRDi AT,12.96,6.5,2012,8,Dealer,"67,000",First Owner,Diesel,Automatic,19.08,,126.32,5
Mercedes-Benz S-Class S 350 CDI,1.68Cr,24.5,2011,9,Dealer,"82,000",First Owner,Diesel,Automatic,13.5,,254.79,5
Mahindra XUV500 W6 2WD,16.19,6,2013,7,Individual,"70,000",First Owner,Diesel,Manual,15.1,,140,7
Mercedes-Benz GLA Class 200,,25,2016,4,Individual,"25,000",First Owner,Petrol,Automatic,13.7,,183,5
Hyundai Grand i10 CRDi Sportz,,5.83,2016,4,Dealer,"91,288",First Owner,Diesel,Manual,24,,70,5
Ford Fiesta 1.4 Duratorq EXI,,1.2,2007,13,Individual,"1,52,000",First Owner,Diesel,Manual,17.8,,68,5
Mercedes-Benz C-Class C 220 CDI BE Avantgarde,51.73,14.5,2012,8,Dealer,"1,12,000",First Owner,Diesel,Automatic,14.84,,167.62,5
Ford Aspire 1.2 Ti-VCT Titanium,6.97,3.95,2016,4,Individual,"75,000",First Owner,Petrol,Manual,18.16,,86.8,5
Mahindra Scorpio S8 7 Seater,15.51,9.25,2015,5,Dealer,"67,000",First Owner,Diesel,Manual,15.4,,120,7
Audi Q3 2.0 TDI,,11,2013,7,Individual,"1,03,142",First Owner,Diesel,Automatic,15.73,,174.33,5
Hyundai i20 1.2 Asta Option,7.98,7.5,2018,2,Individual,"5,000",First Owner,Petrol,Manual,18.6,,81.83,5
Honda City 1.5 S AT,,1.45,2004,16,Dealer,"79,000",First Owner,Petrol,Automatic,16.8,,116.4,5
Honda City 1.5 V MT,13.18,5.6,2013,7,Dealer,"31,000",First Owner,Petrol,Manual,17,,118,5
Nissan Micra Diesel XV,,3.5,2012,8,Dealer,"95,000",First Owner,Diesel,Manual,23.08,,63.1,5
Renault Duster 110PS Diesel RxL,,7.45,2016,4,Dealer,"44,213",First Owner,Diesel,Manual,19.6,,108.45,5
Maruti Baleno Zeta Automatic,6.84,7,2018,2,Individual,"30,000",First Owner,Petrol,Automatic,21.4,,83.1,5
Nissan Terrano XV 110 PS,,5.8,2014,6,Dealer,"1,15,239",First Owner,Diesel,Manual,19.01,,108.5,5
Honda Amaze VX Diesel BSIV,8.82,8.75,2019,1,Dealer,"8,000",First Owner,Diesel,Manual,27.4,,98.63,5
BMW 3 Series 320d M Sport,,27,2016,4,Dealer,"76,000",First Owner,Diesel,Automatic,22.69,,190,5
Maruti Ciaz VDi Plus,,7.97,2016,4,Dealer,"68,429",First Owner,Diesel,Manual,26.21,,88.5,5
Honda Brio 1.2 S Option MT,,3.2,2012,8,Dealer,"58,885",First Owner,Petrol,Manual,18.5,,86.8,5
Hyundai Grand i10 Asta Option AT,7.12,5.71,2016,4,Dealer,"46,861",First Owner,Petrol,Automatic,18.9,,82,5
Honda Amaze S i-DTEC,8.99,5.65,2016,4,Dealer,"59,000",First Owner,Diesel,Manual,25.8,,98.6,5
Honda Jazz 1.2 SV i VTEC,8.8,6.3,2016,4,Dealer,"33,980",First Owner,Petrol,Manual,18.7,,88.7,5
Maruti Swift VXI,6.54,6,2019,1,Individual,"25,500",First Owner,Petrol,Manual,21.21,,81.8,5
Maruti Alto LXI,,1.95,2010,10,Dealer,"51,479",First Owner,Petrol,Manual,19.7,,46.3,5
Maruti Baleno Zeta Automatic,6.69,6.2,2016,4,Individual,"30,000",First Owner,Petrol,Automatic,21.4,,83.1,5
Tata Nexon 1.5 Revotorq XZ,9.71,7.35,2018,2,Dealer,"87,000",First Owner,Diesel,Manual,21.5,,108.5,5
Maruti Swift VDI Optional,,6.5,2017,3,Individual,"40,000",First Owner,Diesel,Manual,25.2,,74,5
Renault KWID RXT,3.54,3.2,2018,2,Individual,"30,000",First Owner,Petrol,Manual,25.17,,53.3,5
Honda City i DTEC VX,15.15,11,2018,2,Dealer,"29,000",First Owner,Diesel,Manual,25.1,,98.6,5
Datsun GO T Petrol,4.4,4.44,2019,1,Individual,"10,000",First Owner,Petrol,Manual,19.83,,67,5
Hyundai Grand i10 AT Asta,,4.75,2015,5,Dealer,"69,300",First Owner,Petrol,Automatic,18.9,,82,5
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,,7.9,2010,10,Dealer,"1,42,800",First Owner,Diesel,Manual,12.8,,102,8
Hyundai Grand i10 1.2 Kappa Asta,7.12,5.68,2017,3,Dealer,"37,850",First Owner,Petrol,Manual,18.9,,81.86,5
Maruti Alto K10 VXI,,3.5,2016,4,Dealer,"52,361",First Owner,Petrol,Manual,23.95,,67.05,5
Mahindra Scorpio S11 BSIV,14.7,15,2018,2,Individual,"70,000",First Owner,Diesel,Manual,16.36,,140,7
Tata Sumo Victa LX 7/9 Str BSII,,3,2007,13,Individual,"1,00,000",First Owner,Diesel,Manual,14.1,,70,9
Honda WR-V i-VTEC S,9.93,7.7,2018,2,Dealer,"19,790",First Owner,Petrol,Manual,17.5,,88.7,5
Mahindra XUV500 R W10 FWD,16.67,12.5,2015,5,Dealer,"68,200",First Owner,Diesel,Manual,16,,140,7
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,,8.5,2013,7,Individual,"1,40,000",First Owner,Diesel,Manual,12.99,,100,7
Chevrolet Optra 1.8,,1.6,2005,15,Individual,"1,40,000",First Owner,Petrol,Manual,16,,115,5
Maruti Swift ZDI,,4.25,2012,8,Dealer,"79,000",First Owner,Diesel,Manual,28.4,,74,5
Maruti Baleno Alpha Automatic,6.69,5.8,2018,2,Dealer,"43,875",First Owner,Petrol,Automatic,21.4,,83.1,5
Volvo S60 D3,,11.5,2012,8,Individual,"90,000",First Owner,Diesel,Automatic,18.5,,163,5
Maruti Swift Dzire ZDi,,7.91,2018,2,Individual,"1,00,000",First Owner,Diesel,Manual,19.3,,73.9,5
Skoda Rapid 1.5 TDI Elegance,,5.55,2015,5,Dealer,"69,000",First Owner,Diesel,Manual,21.14,,103.52,5
Chevrolet Beat Diesel LS,,2.45,2012,8,Dealer,"51,000",First Owner,Diesel,Manual,25.44,,57.6,5
Maruti Ciaz VXi Option,9.7,7.5,2015,5,Dealer,"30,000",First Owner,Petrol,Manual,20.73,,91.1,5
Chevrolet Enjoy TCDi LS 8 Seater,,3.51,2014,6,Individual,"1,20,000",First Owner,Diesel,Manual,18.2,,73.8,8
Mercedes-Benz CLS 350 BE,,36,2014,6,Dealer,"34,000",First Owner,Petrol,Automatic,9.26,,301.8,4
Renault KWID 1.0 RXT Optional,3.49,2.5,2016,4,Individual,"25,000",First Owner,Petrol,Manual,23.01,,67,5
Maruti Swift Dzire LDI,,4.95,2015,5,Dealer,"68,000",First Owner,Diesel,Manual,23.4,,74,5
BMW 3 Series 320d,51.48,22.75,2016,4,Dealer,"13,500",First Owner,Diesel,Automatic,22.69,,190,5
Maruti Alto LXi,,1.5,2006,14,Individual,"1,20,000",First Owner,Petrol,Manual,19.7,,46.3,5
Mahindra XUV500 AT W6 2WD,16.06,10.25,2016,4,Individual,"1,10,000",First Owner,Diesel,Automatic,16,,140,7
Mahindra NuvoSport N8,,6.3,2017,3,Individual,"1,60,000",First Owner,Diesel,Manual,17.45,,100,7
Honda Amaze VX Petrol,,7.8,2018,2,Dealer,"40,079",First Owner,Petrol,Manual,18.6,,88.76,5
Datsun RediGO T Option,3.31,2.3,2017,3,Individual,"35,000",First Owner,Petrol,Manual,22.7,,53.64,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,,8.6,2018,2,Individual,"20,000",First Owner,Diesel,Manual,22,,108.495,5
Volkswagen Vento 1.5 TDI Highline,,6.9,2015,5,Dealer,"63,096",First Owner,Diesel,Manual,20.34,,103.2,5
Maruti Ciaz Alpha BSIV,9.8,8.4,2018,2,Trustmark Dealer,"14,774",First Owner,Petrol,Manual,21.56,,103.25,5
Volkswagen Jetta 2.0L TDI Highline AT,,5.25,2012,8,Individual,"2,76,000",First Owner,Diesel,Automatic,16.96,,138.1,5
Tata Hexa XT,14.1,10.5,2017,3,Dealer,"74,000",First Owner,Diesel,Manual,17.6,,153.86,7
Maruti Swift VDI BSIV,,3.85,2010,10,Dealer,"75,000",First Owner,Diesel,Manual,17.8,,null ,5
Maruti Swift Ldi BSIV,,3,2010,10,Individual,"1,10,000",First Owner,Diesel,Manual,17.8,,75,5
Renault KWID RXT,3.68,3.45,2016,4,Dealer,"30,000",First Owner,Petrol,Manual,25.17,,53.3,5
Chevrolet Beat Diesel LT,,3.5,2017,3,Individual,"97,000",First Owner,Diesel,Manual,25.44,,56.3,5
Hyundai i10 Era,,2.25,2012,8,Individual,"70,000",First Owner,Petrol,Manual,19.81,,68.05,5
BMW 5 Series 530d M Sport,73.85,22,2015,5,Individual,"1,20,000",First Owner,Diesel,Automatic,14.69,,258,5
Chevrolet Beat PS,,1.85,2011,9,Dealer,"44,000",First Owner,Petrol,Manual,18.6,,79.4,5
Maruti Celerio ZXI Optional AMT BSIV,5.03,5,2018,2,Individual,"17,000",First Owner,Petrol,Automatic,23.1,,67.04,5
Maruti Swift VDI,,4.2,2013,7,Individual,"50,000",First Owner,Diesel,Manual,22.9,,74,5
Maruti Swift VDI,,5.25,2015,5,Dealer,"70,695",First Owner,Diesel,Manual,28.4,,74,5
Hyundai Creta 1.6 VTVT SX Plus,11.62,11,2018,2,Individual,"30,000",First Owner,Petrol,Manual,13,,121.3,5
Honda City i-VTEC CVT ZX,13.25,12.25,2017,3,Dealer,"10,000",First Owner,Petrol,Automatic,18,,117.6,5
Ford Figo Petrol Titanium,,2.95,2014,6,Individual,"30,000",First Owner,Petrol,Manual,15.6,,70.02,5
Maruti Alto LXi,,1.65,2009,11,Individual,"70,000",First Owner,Petrol,Manual,19.7,,46.3,5
Maruti Swift VXI,6.23,3,2013,7,Individual,"50,000",First Owner,Petrol,Manual,18.6,,85.8,5
Hyundai EON Magna Plus,,2.7,2016,4,Individual,"25,000",First Owner,Petrol,Manual,21.1,,55.2,5
Maruti Swift Dzire Tour 2012-2018 LDI,,5.3,2014,6,Dealer,"1,01,374",First Owner,Diesel,Manual,23.4,,74,5
BMW 5 Series 520d Sedan,73.85,15,2012,8,Dealer,"85,000",First Owner,Diesel,Automatic,18.48,,,
Hyundai Grand i10 1.2 Kappa Sportz BSIV,7,5.5,2019,1,Individual,"25,000",First Owner,Petrol,Manual,18.9,,81.86,5
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,,6.15,2015,5,Dealer,"69,000",First Owner,Diesel,Manual,22.77,,98.59,5
Chevrolet Beat Diesel LS,,2.1,2012,8,Individual,"80,000",First Owner,Diesel,Manual,25.44,,57.6,5
Jaguar XF 3.0 Litre S Premium Luxury,,15.5,2011,9,Dealer,"70,000",First Owner,Diesel,Automatic,14.74,,270.9,5
Honda City i DTEC V,,6,2015,5,Dealer,"1,28,000",First Owner,Diesel,Manual,26,,98.6,5
Honda City SV MT,13.13,5.8,2016,4,Dealer,"95,066",First Owner,Petrol,Manual,17.4,,117.6,5
BMW X1 sDrive 20D xLine,47.79,38,2019,1,Individual,"10,500",First Owner,Diesel,Automatic,17.05,,,
Hyundai Venue SX Turbo BSIV,8.05,9.58,2019,1,Individual,"15,000",First Owner,Petrol,Manual,18.27,,118.35,5
Maruti Swift 1.3 VXi,6.37,4.3,2013,7,Dealer,"54,600",First Owner,Petrol,Manual,16.1,,,
Maruti Swift VDI,,4.4,2013,7,Dealer,"71,233",First Owner,Diesel,Manual,28.4,,74,5
Honda City i VTEC VX,13.18,10.25,2017,3,Dealer,"29,000",First Owner,Petrol,Manual,17.8,,117.3,5
Maruti Eeco 5 Seater AC,4.66,3.5,2018,2,Dealer,"33,000",First Owner,Petrol,Manual,16.11,,72.42,5
Maruti Zen Estilo 1.1 LX BSIII,,1,2006,14,Individual,"70,000",First Owner,Petrol,Manual,18.2,,64,5
Hyundai i10 Magna 1.1L,,3.85,2015,5,Dealer,"63,168",First Owner,Petrol,Manual,19.81,,68.05,5
Tata Hexa XE,14.1,11.5,2017,3,Individual,"10,000",First Owner,Diesel,Manual,17.6,,147.94,7
Hyundai i20 1.4 Magna Executive,9.6,7.8,2018,2,Dealer,"25,645",First Owner,Diesel,Manual,22.54,,88.73,5
Mitsubishi Pajero Sport Limited Edition,,11.2,2014,6,Individual,"60,000",First Owner,Diesel,Manual,13.5,,178,7
Hyundai i10 Magna,,2.75,2010,10,Dealer,"90,000",First Owner,Petrol,Manual,20.36,,78.9,5
BMW 5 Series 520d Sedan,73.22,19,2011,9,Dealer,"30,000",First Owner,Diesel,Automatic,18.48,,,
Hyundai i20 1.4 CRDi Asta,9.59,3.2,2010,10,Dealer,"97,845",First Owner,Diesel,Manual,23,,90,5
Mahindra Scorpio S11,15.44,15.5,2018,2,Dealer,"47,000",First Owner,Diesel,Manual,16.36,,138.13,7
Maruti Swift Dzire VXI,6.98,4.75,2013,7,Dealer,"85,000",First Owner,Petrol,Manual,20.85,,83.14,5
Honda Brio V MT,,3.95,2016,4,Individual,"60,000",First Owner,Petrol,Manual,19.4,,86.8,5
Mahindra Bolero 2011-2019 SLE,9.15,4.35,2012,8,Dealer,"75,000",First Owner,Diesel,Manual,15.96,,62.1,7
Maruti Omni E MPI STD BS IV,,2.5,2017,3,Individual,"20,000",First Owner,Petrol,Manual,16.8,,34.2,8
Honda City 1.5 V MT,13.34,4.4,2011,9,Dealer,"79,418",First Owner,Petrol,Manual,17,,118,5
Skoda Yeti Ambition 4WD,,7,2012,8,Dealer,"1,05,246",First Owner,Diesel,Manual,17.67,,138.08,5
Audi Q3 2.0 TDI Quattro Premium Plus,,22,2015,5,Dealer,"69,000",First Owner,Diesel,Automatic,15.73,,174.33,5
Ford Ecosport 1.5 DV5 MT Ambiente,10.31,4.3,2013,7,Dealer,"92,000",First Owner,Diesel,Manual,22.7,,89.84,5
Maruti Alto K10 VXI,,3.47,2016,4,Dealer,"32,903",First Owner,Petrol,Manual,23.95,,67.05,5
Toyota Corolla H5 ANNIVERSARY,,1.5,2007,13,Individual,"1,37,000",First Owner,Petrol,Manual,13.4,,125,5
Hyundai i20 1.4 CRDi Magna,9.6,6.6,2016,4,Dealer,"88,098",First Owner,Diesel,Manual,21.9,,90,5
Maruti Swift VDI,,4.75,2014,6,Dealer,"81,000",First Owner,Diesel,Manual,28.4,,74,5
Maruti Baleno Delta Automatic,6.83,5.75,2016,4,Dealer,"98,000",First Owner,Petrol,Automatic,21.4,,83.1,5
Maruti Alto LXi,,2.11,2012,8,Dealer,"42,000",First Owner,Petrol,Manual,19.7,,46.3,5
Maruti Swift Dzire ZDI,,5.5,2013,7,Dealer,"55,002",First Owner,Diesel,Manual,26.59,,74,5
Hyundai Creta 1.6 CRDi AT SX Plus,12.33,12.49,2016,4,Dealer,"88,000",First Owner,Diesel,Automatic,17.01,,126.2,5
Maruti Swift VDI Deca,,5.35,2016,4,Individual,"1,00,000",First Owner,Diesel,Manual,25.2,,74,5
Mercedes-Benz C-Class 220 CDI AT,52.18,9.95,2008,12,Dealer,"99,000",First Owner,Diesel,Automatic,14.84,,170,5
Maruti Swift VXI,6.37,5,2014,6,Dealer,"50,000",First Owner,Petrol,Manual,18.6,,85.8,5
Tata Indigo CR4,,2.75,2013,7,Dealer,"68,782",First Owner,Diesel,Manual,23.57,,70,5
Hyundai Venue SX Opt Diesel BSIV,9.53,11.75,2019,1,Dealer,"15,000",First Owner,Diesel,Manual,23.7,,88.7,5
Mercedes-Benz GLS 2016-2020 350d Grand Edition,1.27,66,2018,2,Dealer,"48,000",First Owner,Diesel,Automatic,11,,258,7
Hyundai Verna CRDi,12.85,1.9,2008,12,Individual,"90,000",First Owner,Diesel,Manual,16.8,,110,5
Datsun GO A,4.52,2,2015,5,Individual,"30,000",First Owner,Petrol,Manual,20.63,,67.06,5
Maruti Alto 800 LX,3.52,2.24,2013,7,Dealer,"40,580",First Owner,Petrol,Manual,22.74,,47.3,5
Volkswagen Polo Diesel Comfortline 1.2L,,4.4,2014,6,Dealer,"79,000",First Owner,Diesel,Manual,22.07,,73.9,5
Hyundai Verna 1.6 EX VTVT,10.27,4.3,2013,7,Individual,"70,000",First Owner,Petrol,Manual,17.01,,121.3,5
Ford Freestyle Titanium Plus Diesel BSIV,9.8,8.8,2019,1,Dealer,"13,133",First Owner,Diesel,Manual,24.4,,98.63,5
Maruti Vitara Brezza VDi Option,,7.68,2016,4,Dealer,"51,577",First Owner,Diesel,Manual,24.3,,88.5,5
Maruti Alto LXi BSIII,,1.64,2010,10,Individual,"80,000",First Owner,Petrol,Manual,19.7,,46.3,5
Mahindra Scorpio S4 Plus,16.3,7.25,2014,6,Dealer,"1,36,542",First Owner,Diesel,Manual,15.4,,120,7
Maruti Ertiga ZDI,,6.9,2013,7,Dealer,"1,38,000",First Owner,Diesel,Manual,25.47,,88.5,7
Hyundai Santro Xing XK,,1.55,2007,13,Individual,"60,000",First Owner,Petrol,Manual,17.8,,63,5
Ford Ecosport 2015-2021 1.5 TDCi Ambiente BSIV,10.3,7,2016,4,Dealer,"56,393",First Owner,Diesel,Manual,22.77,,98.59,5
Mercedes-Benz E-Class E250 CDI Classic,75.73,15,2013,7,Dealer,"1,40,000",First Owner,Diesel,Automatic,14.21,,203,5
Hyundai i20 Asta 1.4 CRDi,9.6,4.3,2013,7,Individual,"1,31,000",First Owner,Diesel,Manual,21.27,,88.76,5
Tata Tiago 1.05 Revotorq XM,,4.1,2018,2,Individual,"70,000",First Owner,Diesel,Manual,27.28,,69,5
Maruti Vitara Brezza VDi AMT,,9.39,2018,2,Dealer,"13,666",First Owner,Diesel,Automatic,24.3,,88.5,5
Hyundai i20 Magna 1.4 CRDi,9.74,5.8,2016,4,Dealer,"62,000",First Owner,Diesel,Manual,22.54,,88.73,5
Renault KWID 1.0 RXT Optional,3.98,3.85,2016,4,Dealer,"34,000",First Owner,Petrol,Manual,23.01,,67,5
BMW 3 Series GT 320d Sport Line,,25,2016,4,Dealer,"96,500",First Owner,Diesel,Automatic,19.59,,184,5
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,6.92,5.15,2018,2,Individual,"10,000",First Owner,Petrol,Manual,18.9,,81.86,5
Renault Duster 110PS Diesel RxL,,5.7,2013,7,Dealer,"49,400",First Owner,Diesel,Manual,19.01,,108.45,5
Mahindra Scorpio SLX 2.6 Turbo 8 Str,15.44,3.5,2008,12,Individual,"1,98,000",First Owner,Diesel,Manual,10.5,,120,7
Tata Safari Storme VX Varicor 400,,9.5,2018,2,Dealer,"65,000",First Owner,Diesel,Manual,14.1,,153.86,7
Honda WR-V i-DTEC S,11.78,8,2018,2,Dealer,"60,000",First Owner,Diesel,Manual,25.5,,98.6,5
Ford Figo Diesel ZXI,9.06,3.25,2011,9,Dealer,"75,000",First Owner,Diesel,Manual,20,,68.05,5
BMW X5 xDrive 30d,89.82,18.99,2010,10,Dealer,"95,000",First Owner,Diesel,Automatic,11.7,,245,5
