sl_no,vehicle_name,buying_price,selling_price,make_year,vehicle_age,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage
2360,Hyundai i20 1.2 Asta,791000,275000,2010,10,Dealer,23000,First Owner,Petrol,Manual,17
2361,Hyundai Venue SX Plus Turbo DCT BSIV,799000,1185000,2020,0,Dealer,4000,First Owner,Petrol,Automatic,18.15
2362,Volkswagen Polo 2015-2019 GT TSI,696000,600000,2015,5,Dealer,87000,First Owner,Petrol,Automatic,17.21
2363,Hyundai Grand i10 AT Sportz,706000,525000,2015,5,Dealer,15000,First Owner,Petrol,Automatic,18.9
2364,Tata Tiago 1.2 Revotron XTA,590000,495000,2018,2,Dealer,2500,First Owner,Petrol,Automatic,23.84
2365,Hyundai i20 Sportz 1.2,790000,595000,2015,5,Trustmark Dealer,54625,First Owner,Petrol,Manual,18.6
2366,Hyundai Verna VTVT 1.6 AT SX Option,1056000,1250000,2019,1,Dealer,8000,First Owner,Petrol,Automatic,17
2367,BMW 7 Series Signature 730Ld,165000,7500000,2017,3,Dealer,21119,First Owner,Diesel,Automatic,16.46
2368,Toyota Innova Crysta 2016-2020 2.4 VX MT,2126000,2000000,2019,1,Dealer,35000,First Owner,Diesel,Manual,13.68
2369,Maruti Ertiga VXI Limited Edition,893000,810000,2018,2,Dealer,32000,First Owner,Petrol,Manual,17.5
2370,BMW X5 xDrive 30d Design Pure Experience 5 Seater,9313000,3850000,2016,4,Dealer,46000,First Owner,Diesel,Automatic,15.97
2371,Maruti Baleno Delta,688000,600000,2017,3,Dealer,23000,First Owner,Petrol,Manual,21.01
2372,Hyundai Verna Transform VTVT,1027000,490000,2013,7,Dealer,30588,First Owner,Petrol,Manual,16.2
2373,Maruti Swift VXI BSIV,640000,530000,2015,5,Dealer,55000,First Owner,Petrol,Manual,22
2374,Ferrari GTC4Lusso T,50100000,39500000,2019,1,Dealer,3800,First Owner,Petrol,Automatic,4
2375,Ford Figo Diesel Celebration Edition,926000,250000,2013,7,Individual,55000,First Owner,Diesel,Manual,20
2376,Hyundai i20 Asta 1.4 CRDi,968000,545000,2014,6,Dealer,66266,First Owner,Diesel,Manual,21.27
2377,Maruti Ertiga VXI CNG Limited Edition,1022000,650000,2015,5,Dealer,100000,First Owner,CNG,Manual,22.8
2378,Maruti Eeco 5 Seater AC BSIV,455000,411000,2019,1,Individual,25000,First Owner,Petrol,Manual,15.37
2379,Honda City i DTEC VX,1488000,650000,2014,6,Dealer,63762,First Owner,Diesel,Manual,25.1
2380,Kia Seltos GTX Plus AT D,1282000,1810000,2019,1,Dealer,11800,First Owner,Diesel,Automatic,17.8
2381,Hyundai i20 Sportz 1.4 CRDi,974000,370000,2012,8,Dealer,56328,First Owner,Diesel,Manual,21.9
2382,Mahindra XUV500 W6 2WD,1750000,950000,2015,5,Dealer,42000,First Owner,Diesel,Manual,15.1
2383,Toyota Innova Crysta 2016-2020 2.4 GX MT BSIV,2001000,1550000,2017,3,Dealer,67000,First Owner,Diesel,Manual,13.68
2384,Maruti Ciaz ZXi,969999,715000,2015,5,Dealer,40000,First Owner,Petrol,Manual,20.73
2385,Maruti Alto 800 VXI Optional,353000,318000,2017,3,Individual,3600,First Owner,Petrol,Manual,24.7
2386,Honda Amaze S i-Vtech,731000,450000,2015,5,Dealer,73000,First Owner,Petrol,Manual,18
2387,Toyota Fortuner 4x2 AT,3954999,1525000,2013,7,Dealer,75000,First Owner,Diesel,Automatic,12.55
2388,Tata Hexa XT,1410000,1220000,2017,3,Individual,186000,First Owner,Diesel,Manual,17.6
2389,Maruti Ignis 1.2 Alpha BSIV,557000,500000,2017,3,Individual,30000,First Owner,Petrol,Manual,20.89
2390,BMW X5 3.0d,8982000,2150000,2012,8,Dealer,95000,First Owner,Diesel,Automatic,11
2391,Hyundai i10 Era 1.1,712000,375000,2011,9,Dealer,73000,First Owner,Petrol,Manual,19.81
2392,Hyundai Grand i10 Asta,701000,484999,2016,4,Individual,40000,First Owner,Petrol,Manual,18.9
2393,Maruti Ciaz ZXi,951000,600000,2016,4,Dealer,71000,First Owner,Petrol,Manual,20.73
2394,Ford Ecosport 2015-2021 1.5 Diesel Titanium,1031000,690000,2016,4,Dealer,71500,First Owner,Diesel,Manual,21.7
2395,Hyundai Verna 1.6 SX,1262000,585000,2013,7,Dealer,65512,First Owner,Diesel,Manual,22.32
2396,Ford Ecosport 2015-2021 1.5 Ti VCT AT Titanium BSIV,933000,665000,2015,5,Dealer,37000,First Owner,Petrol,Automatic,15.63
2397,Tata Harrier XZ BSIV,1581000,1750000,2019,1,Individual,20000,First Owner,Diesel,Manual,17
2398,Mahindra Scorpio S2 9 Seater,1550000,760000,2015,5,Dealer,51000,First Owner,Diesel,Manual,15.4
2399,Mahindra Scorpio S6 Plus 8 Seater,1544000,800000,2014,6,Individual,100000,First Owner,Diesel,Manual,15.4
2400,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1146000,1100000,2017,3,Individual,50000,First Owner,Diesel,Manual,19.67
2401,Maruti Baleno Alpha Automatic,730000,890000,2018,2,Dealer,1300,First Owner,Petrol,Automatic,21.4
2402,Maruti Wagon R CNG LXI,637000,409999,2014,6,Dealer,20903,First Owner,CNG,Manual,32.52
2403,Maruti Eeco 5 Seater AC BSIV,455000,250000,2014,6,Individual,30000,First Owner,Petrol,Manual,15.37
2404,Tata Tiago 1.2 Revotron XT,573000,420000,2017,3,Individual,80000,First Owner,Petrol,Manual,23.84
2405,Hyundai Verna 1.6 SX,1285000,740000,2014,6,Dealer,103247,First Owner,Diesel,Manual,22.32
2406,Honda City 2017-2020 GXi,1285000,225000,2008,12,Individual,100000,First Owner,Petrol,Manual,17.7
2407,Mercedes-Benz E-Class 280 CDI,7573000,1200000,2009,11,Dealer,107591,First Owner,Diesel,Automatic,11
2408,Hyundai Creta 1.4 EX Diesel,1261000,1350000,2020,0,Individual,15000,First Owner,Diesel,Manual,22.1
2409,Renault KWID RXT,368000,325000,2016,4,Dealer,87000,First Owner,Petrol,Manual,22.3
2410,Renault KWID RXT,354000,350000,2016,4,Individual,37000,First Owner,Petrol,Manual,25.17
2411,Mercedes-Benz GLS 2016-2020 350d 4MATIC,127000,6600000,2018,2,Dealer,47000,First Owner,Diesel,Automatic,11
2412,Mercedes-Benz S-Class S350L CDI BE,17200000,3000000,2012,8,Individual,50000,First Owner,Diesel,Automatic,13.5
2413,Honda City i DTEC SV,1440000,600000,2015,5,Individual,120000,First Owner,Diesel,Manual,26
2414,Honda Amaze V CVT Diesel BSIV,885000,860000,2018,2,Dealer,69000,First Owner,Diesel,Automatic,23.8
2415,Honda Amaze E Diesel BSIV,884000,700000,2019,1,Individual,30000,First Owner,Diesel,Manual,27.4
2416,Hyundai i20 Petrol Asta Option,798000,750000,2019,1,Individual,40000,First Owner,Petrol,Manual,18.6
2417,Tata Safari 2005-2017 DICOR 2.2 LX 4x2,1485000,190000,2008,12,Individual,60000,First Owner,Diesel,Manual,11.57
2418,Maruti Swift VXI,654000,490000,2016,4,Dealer,49000,First Owner,Petrol,Manual,21.21
2419,Hyundai Verna 1.6 CRDi SX,1310000,925000,2017,3,Dealer,30700,First Owner,Diesel,Manual,23.9
2420,Kia Seltos HTX Plus D,1282000,1549000,2019,1,Individual,5000,First Owner,Diesel,Manual,20.8
2421,Maruti Swift Dzire VXI 1.2,706000,650000,2018,2,Individual,21500,First Owner,Petrol,Manual,21.21
2422,Maruti Swift VXI,624000,350000,2013,7,Individual,20000,First Owner,Petrol,Manual,18.6
2423,Maruti Wagon R VXI Minor,538000,150000,2009,11,Individual,77000,First Owner,Petrol,Manual,18.9
2424,Mercedes-Benz C-Class 220 CDI AT,5173000,1350000,2014,6,Individual,70000,First Owner,Diesel,Automatic,14.84
2425,Hyundai Grand i10 Asta Option,701000,380000,2014,6,Dealer,43000,First Owner,Petrol,Manual,18.9
2426,Audi Q7 2006-2020 3.0 TDI quattro,8059999,1950000,2012,8,Dealer,129000,First Owner,Diesel,Automatic,12.07
2427,Mahindra Bolero 2011-2019 SLE BSIII,915000,434999,2012,8,Dealer,75000,First Owner,Diesel,Manual,15.96
2428,Ford Figo Diesel Titanium,919999,250000,2014,6,Dealer,60000,First Owner,Diesel,Manual,20
2429,Maruti Baleno Delta Automatic,730000,698000,2016,4,Dealer,45215,First Owner,Petrol,Automatic,21.4
2430,Renault KWID AMT,368000,395000,2017,3,Dealer,33000,First Owner,Petrol,Automatic,24.04
2431,Mahindra Scorpio VLX 2.2 mHawk BSIII,1544000,565000,2011,9,Dealer,156000,First Owner,Diesel,Manual,12.05
2432,Hyundai Verna VTVT 1.6 EX,1047000,775000,2017,3,Individual,20000,First Owner,Petrol,Manual,17.7
2433,Mahindra Bolero SLX,926000,325000,2010,10,Individual,350000,First Owner,Diesel,Manual,13.6
2434,Hyundai Creta 1.6 CRDi SX Option,1211000,1350000,2019,1,Individual,31700,First Owner,Diesel,Manual,19.67
2435,Isuzu D-Max V-Cross 4X4,1985000,1250000,2017,3,Individual,51000,First Owner,Diesel,Manual,12.4
2436,Maruti Swift LXI,636000,539000,2019,1,Individual,8000,First Owner,Petrol,Manual,21.21
2437,Ford Aspire 1.5 TDCi Titanium,969000,690000,2017,3,Dealer,24000,First Owner,Diesel,Manual,25.83
2438,Ford Ecosport 2015-2021 Signature Edition Diesel BSIV,1031000,1025000,2018,2,Dealer,18890,First Owner,Diesel,Manual,23
2439,Hyundai Grand i10 1.2 Kappa Sportz BSIV,692000,525000,2018,2,Individual,5000,First Owner,Petrol,Manual,18.9
2440,Hyundai i10 Asta 1.2 AT with Sunroof,701000,385000,2012,8,Dealer,41000,First Owner,Petrol,Automatic,19.2
2441,Maruti Wagon R LX,530000,290000,2014,6,Individual,40330,First Owner,Petrol,Manual,20.51
2442,BMW X3 xDrive20d,7441000,2675000,2014,6,Dealer,66000,First Owner,Diesel,Automatic,16.09
2443,Tata Nexon 1.5 Revotorq XZ Plus,971000,950000,2018,2,Individual,50000,First Owner,Diesel,Manual,21.5
2444,Ford Figo Diesel Titanium,919999,325000,2014,6,Dealer,77000,First Owner,Diesel,Manual,20
2445,Maruti Wagon R VXI,557000,425000,2016,4,Dealer,58802,First Owner,Petrol,Manual,18.9
2446,Volkswagen Vento 1.2 TSI Highline AT,1057000,750000,2015,5,Dealer,56000,First Owner,Petrol,Automatic,18.19
2447,Toyota Fortuner 3.0 Diesel,3879999,1250000,2010,10,Dealer,110000,First Owner,Diesel,Manual,11.5
2448,Hyundai Elantra CRDi SX AT,2262000,750000,2013,7,Dealer,60000,First Owner,Diesel,Automatic,19.5
2449,Hyundai i20 Asta Option 1.2,798000,600000,2016,4,Individual,30000,First Owner,Petrol,Manual,18.6
2450,Hyundai Creta 1.6 VTVT SX Plus,1168000,1150000,2017,3,Dealer,34800,First Owner,Petrol,Manual,13
2451,Skoda Superb Style 1.8 TSI AT,3692000,1950000,2017,3,Dealer,30000,First Owner,Petrol,Automatic,14.67
2452,Ford Figo Diesel EXI,919999,195000,2012,8,Individual,70000,First Owner,Diesel,Manual,20
2453,Maruti Baleno Alpha,675000,645000,2017,3,Dealer,26917,First Owner,Petrol,Manual,21.01
2454,BMW 3 Series 320d Prestige,5148000,1375000,2013,7,Dealer,90000,First Owner,Diesel,Automatic,18.88
2455,Maruti Alto 800 LXI,354000,262000,2013,7,Individual,15000,First Owner,Petrol,Manual,22.74
2456,Maruti Wagon R LXI BSIII,557000,204999,2008,12,Dealer,64521,First Owner,Petrol,Manual,14
2457,Hyundai Verna 1.6 CRDI,1296000,550000,2013,7,Individual,70000,First Owner,Diesel,Manual,22.32
2458,Ford Endeavour 3.2 Titanium AT 4X4,3585000,3000000,2018,2,Individual,25000,First Owner,Diesel,Automatic,10.91
2459,Maruti Wagon R VXI BSIII,539000,290000,2011,9,Dealer,69001,First Owner,Petrol,Manual,17.3
2460,Maruti Swift ZXI,624000,610000,2018,2,Individual,20000,First Owner,Petrol,Manual,22
2461,Hyundai Verna SX CRDi AT,1296000,650000,2012,8,Dealer,67000,First Owner,Diesel,Automatic,19.08
2462,Mercedes-Benz S-Class S 350 CDI,16800000,2450000,2011,9,Dealer,82000,First Owner,Diesel,Automatic,13.5
2463,Mahindra XUV500 W6 2WD,1619000,600000,2013,7,Individual,70000,First Owner,Diesel,Manual,15.1
2464,Mercedes-Benz C-Class C 220 CDI BE Avantgarde,5173000,1450000,2012,8,Dealer,112000,First Owner,Diesel,Automatic,14.84
2465,Ford Aspire 1.2 Ti-VCT Titanium,697000,395000,2016,4,Individual,75000,First Owner,Petrol,Manual,18.16
2466,Mahindra Scorpio S8 7 Seater,1551000,925000,2015,5,Dealer,67000,First Owner,Diesel,Manual,15.4
2467,Hyundai i20 1.2 Asta Option,798000,750000,2018,2,Individual,5000,First Owner,Petrol,Manual,18.6
2468,Honda City 1.5 V MT,1318000,560000,2013,7,Dealer,31000,First Owner,Petrol,Manual,17
2469,Maruti Baleno Zeta Automatic,684000,700000,2018,2,Individual,30000,First Owner,Petrol,Automatic,21.4
2470,Honda Amaze VX Diesel BSIV,882000,875000,2019,1,Dealer,8000,First Owner,Diesel,Manual,27.4
2471,Hyundai Grand i10 Asta Option AT,712000,571000,2016,4,Dealer,46861,First Owner,Petrol,Automatic,18.9
2472,Honda Amaze S i-DTEC,899000,565000,2016,4,Dealer,59000,First Owner,Diesel,Manual,25.8
2473,Honda Jazz 1.2 SV i VTEC,880000,630000,2016,4,Dealer,33980,First Owner,Petrol,Manual,18.7
2474,Maruti Swift VXI,654000,600000,2019,1,Individual,25500,First Owner,Petrol,Manual,21.21
2475,Maruti Baleno Zeta Automatic,669000,620000,2016,4,Individual,30000,First Owner,Petrol,Automatic,21.4
2476,Tata Nexon 1.5 Revotorq XZ,971000,735000,2018,2,Dealer,87000,First Owner,Diesel,Manual,21.5
2477,Renault KWID RXT,354000,320000,2018,2,Individual,30000,First Owner,Petrol,Manual,25.17
2478,Honda City i DTEC VX,1515000,1100000,2018,2,Dealer,29000,First Owner,Diesel,Manual,25.1
2479,Datsun GO T Petrol,440000,444000,2019,1,Individual,10000,First Owner,Petrol,Manual,19.83
2480,Hyundai Grand i10 1.2 Kappa Asta,712000,568000,2017,3,Dealer,37850,First Owner,Petrol,Manual,18.9
2481,Mahindra Scorpio S11 BSIV,1470000,1500000,2018,2,Individual,70000,First Owner,Diesel,Manual,16.36
2482,Honda WR-V i-VTEC S,993000,770000,2018,2,Dealer,19790,First Owner,Petrol,Manual,17.5
2483,Mahindra XUV500 R W10 FWD,1667000,1250000,2015,5,Dealer,68200,First Owner,Diesel,Manual,16
2484,Maruti Baleno Alpha Automatic,669000,580000,2018,2,Dealer,43875,First Owner,Petrol,Automatic,21.4
2485,Maruti Ciaz VXi Option,969999,750000,2015,5,Dealer,30000,First Owner,Petrol,Manual,20.73
2486,Renault KWID 1.0 RXT Optional,349000,250000,2016,4,Individual,25000,First Owner,Petrol,Manual,23.01
2487,BMW 3 Series 320d,5148000,2275000,2016,4,Dealer,13500,First Owner,Diesel,Automatic,22.69
2488,Mahindra XUV500 AT W6 2WD,1605999,1025000,2016,4,Individual,110000,First Owner,Diesel,Automatic,16
2489,Datsun RediGO T Option,331000,229999,2017,3,Individual,35000,First Owner,Petrol,Manual,22.7
2490,Maruti Ciaz Alpha BSIV,980000,840000,2018,2,Trustmark Dealer,14774,First Owner,Petrol,Manual,21.56
2491,Tata Hexa XT,1410000,1050000,2017,3,Dealer,74000,First Owner,Diesel,Manual,17.6
2492,Renault KWID RXT,368000,345000,2016,4,Dealer,30000,First Owner,Petrol,Manual,25.17
2493,BMW 5 Series 530d M Sport,7384999,2200000,2015,5,Individual,120000,First Owner,Diesel,Automatic,14.69
2494,Maruti Celerio ZXI Optional AMT BSIV,503000,500000,2018,2,Individual,17000,First Owner,Petrol,Automatic,23.1
2495,Hyundai Creta 1.6 VTVT SX Plus,1162000,1100000,2018,2,Individual,30000,First Owner,Petrol,Manual,13
2496,Honda City i-VTEC CVT ZX,1325000,1225000,2017,3,Dealer,10000,First Owner,Petrol,Automatic,18
2497,Maruti Swift VXI,623000,300000,2013,7,Individual,50000,First Owner,Petrol,Manual,18.6
2498,BMW 5 Series 520d Sedan,7384999,1500000,2012,8,Dealer,85000,First Owner,Diesel,Automatic,18.48
2499,Hyundai Grand i10 1.2 Kappa Sportz BSIV,700000,550000,2019,1,Individual,25000,First Owner,Petrol,Manual,18.9
2500,Honda City SV MT,1313000,580000,2016,4,Dealer,95066,First Owner,Petrol,Manual,17.4
2501,BMW X1 sDrive 20D xLine,4779000,3800000,2019,1,Individual,10500,First Owner,Diesel,Automatic,17.05
2502,Hyundai Venue SX Turbo BSIV,805000,958000,2019,1,Individual,15000,First Owner,Petrol,Manual,18.27
2503,Maruti Swift 1.3 VXi,637000,430000,2013,7,Dealer,54600,First Owner,Petrol,Manual,16.1
2504,Honda City i VTEC VX,1318000,1025000,2017,3,Dealer,29000,First Owner,Petrol,Manual,17.8
2505,Maruti Eeco 5 Seater AC,466000,350000,2018,2,Dealer,33000,First Owner,Petrol,Manual,16.11
2506,Tata Hexa XE,1410000,1150000,2017,3,Individual,10000,First Owner,Diesel,Manual,17.6
2507,Hyundai i20 1.4 Magna Executive,960000,780000,2018,2,Dealer,25645,First Owner,Diesel,Manual,22.54
2508,BMW 5 Series 520d Sedan,7322000,1900000,2011,9,Dealer,30000,First Owner,Diesel,Automatic,18.48
2509,Hyundai i20 1.4 CRDi Asta,959000,320000,2010,10,Dealer,97845,First Owner,Diesel,Manual,23
2510,Mahindra Scorpio S11,1544000,1550000,2018,2,Dealer,47000,First Owner,Diesel,Manual,16.36
2511,Maruti Swift Dzire VXI,698000,475000,2013,7,Dealer,85000,First Owner,Petrol,Manual,20.85
2512,Mahindra Bolero 2011-2019 SLE,915000,434999,2012,8,Dealer,75000,First Owner,Diesel,Manual,15.96
2513,Honda City 1.5 V MT,1334000,440000,2011,9,Dealer,79418,First Owner,Petrol,Manual,17
2514,Ford Ecosport 1.5 DV5 MT Ambiente,1031000,430000,2013,7,Dealer,92000,First Owner,Diesel,Manual,22.7
2515,Hyundai i20 1.4 CRDi Magna,960000,660000,2016,4,Dealer,88098,First Owner,Diesel,Manual,21.9
2516,Maruti Baleno Delta Automatic,683000,575000,2016,4,Dealer,98000,First Owner,Petrol,Automatic,21.4
2517,Hyundai Creta 1.6 CRDi AT SX Plus,1233000,1249000,2016,4,Dealer,88000,First Owner,Diesel,Automatic,17.01
2518,Mercedes-Benz C-Class 220 CDI AT,5218000,994999,2008,12,Dealer,99000,First Owner,Diesel,Automatic,14.84
2519,Maruti Swift VXI,637000,500000,2014,6,Dealer,50000,First Owner,Petrol,Manual,18.6
2520,Hyundai Venue SX Opt Diesel BSIV,952999,1175000,2019,1,Dealer,15000,First Owner,Diesel,Manual,23.7
2521,Mercedes-Benz GLS 2016-2020 350d Grand Edition,127000,6600000,2018,2,Dealer,48000,First Owner,Diesel,Automatic,11
2522,Hyundai Verna CRDi,1285000,190000,2008,12,Individual,90000,First Owner,Diesel,Manual,16.8
2523,Datsun GO A,451999,200000,2015,5,Individual,30000,First Owner,Petrol,Manual,20.63
2524,Maruti Alto 800 LX,352000,224000,2013,7,Dealer,40580,First Owner,Petrol,Manual,22.74
2525,Hyundai Verna 1.6 EX VTVT,1027000,430000,2013,7,Individual,70000,First Owner,Petrol,Manual,17.01
2526,Ford Freestyle Titanium Plus Diesel BSIV,980000,880000,2019,1,Dealer,13133,First Owner,Diesel,Manual,24.4
2527,Mahindra Scorpio S4 Plus,1630000,725000,2014,6,Dealer,136542,First Owner,Diesel,Manual,15.4
2528,Ford Ecosport 2015-2021 1.5 TDCi Ambiente BSIV,1030000,700000,2016,4,Dealer,56393,First Owner,Diesel,Manual,22.77
2529,Mercedes-Benz E-Class E250 CDI Classic,7573000,1500000,2013,7,Dealer,140000,First Owner,Diesel,Automatic,14.21
2530,Hyundai i20 Asta 1.4 CRDi,960000,430000,2013,7,Individual,131000,First Owner,Diesel,Manual,21.27
2531,Hyundai i20 Magna 1.4 CRDi,974000,580000,2016,4,Dealer,62000,First Owner,Diesel,Manual,22.54
2532,Renault KWID 1.0 RXT Optional,398000,385000,2016,4,Dealer,34000,First Owner,Petrol,Manual,23.01
2533,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,692000,515000,2018,2,Individual,10000,First Owner,Petrol,Manual,18.9
2534,Mahindra Scorpio SLX 2.6 Turbo 8 Str,1544000,350000,2008,12,Individual,198000,First Owner,Diesel,Manual,10.5
2535,Honda WR-V i-DTEC S,1178000,800000,2018,2,Dealer,60000,First Owner,Diesel,Manual,25.5
2536,Ford Figo Diesel ZXI,906000,325000,2011,9,Dealer,75000,First Owner,Diesel,Manual,20
2537,BMW X5 xDrive 30d,8982000,1898999,2010,10,Dealer,95000,First Owner,Diesel,Automatic,11.7
2538,Hyundai Creta 1.4 CRDi S,1211000,880000,2017,3,Individual,60000,First Owner,Diesel,Manual,21.38
2539,Honda Amaze EX i-Dtech,884000,475000,2014,6,Dealer,67000,First Owner,Diesel,Manual,25.8
2540,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,1998999,1800000,2016,4,Individual,70000,First Owner,Diesel,Automatic,11.36
2541,Maruti Ciaz 1.4 AT Zeta,969999,780000,2017,3,Dealer,44000,First Owner,Petrol,Automatic,19.12
2542,Tata Safari 2005-2017 DICOR 2.2 GX 4x2 BS IV,1485000,400000,2012,8,Individual,100000,First Owner,Diesel,Manual,13.93
2543,Mahindra Bolero 2011-2019 Plus AC,926000,500000,2012,8,Individual,150000,First Owner,Diesel,Manual,15.96
2544,Volkswagen Vento 1.6 Trendline BSIV,1057000,500000,2013,7,Dealer,49361,First Owner,Petrol,Manual,16.09
2545,Hyundai i20 Sportz 1.2,770000,550000,2014,6,Individual,44000,First Owner,Petrol,Manual,18.5
2546,Maruti Ertiga VXI,900000,695000,2016,4,Dealer,27000,First Owner,Petrol,Manual,19.01
2547,Maruti Baleno Delta Automatic,670000,599000,2017,3,Individual,25000,First Owner,Petrol,Automatic,21.4
2548,Honda City i VTEC V,1269000,715000,2016,4,Individual,70000,First Owner,Petrol,Manual,17.8
2549,Hyundai Venue SX Plus Turbo DCT BSIV,777000,1000000,2019,1,Individual,10000,First Owner,Petrol,Automatic,18.15
2550,Maruti Wagon R VXI,538000,380000,2017,3,Individual,60000,First Owner,Petrol,Manual,20.51
2551,Maruti Baleno Delta 1.2,669000,550000,2018,2,Dealer,28563,First Owner,Petrol,Manual,21.4
2552,Maruti Wagon R LXI Avance Edition,555000,291000,2012,8,Dealer,66000,First Owner,Petrol,Manual,20.51
2553,Maruti Alto 800 LXI Opt,344000,350000,2019,1,Individual,1200,First Owner,Petrol,Manual,22.05
2554,Hyundai Verna 1.6 CRDI,1281000,700000,2013,7,Individual,70000,First Owner,Diesel,Manual,22.32
2555,Mahindra Scorpio 2009-2014 SLE 7S BSIII,1544000,440000,2010,10,Individual,44000,First Owner,Diesel,Manual,12.05
2556,Hyundai Creta 1.6 CRDi SX Option,1233000,960000,2016,4,Individual,120000,First Owner,Diesel,Manual,19.67
2557,Maruti Wagon R AMT VXI,557000,495000,2016,4,Dealer,50000,First Owner,Petrol,Automatic,20.51
2558,Mahindra XUV500 W6 2WD,1675000,850000,2015,5,Dealer,55424,First Owner,Diesel,Manual,16
2559,Renault KWID RXT,398000,380000,2018,2,Dealer,5694,First Owner,Petrol,Manual,25.17
2560,Ford Figo 1.5D Trend MT,911999,525000,2016,4,Individual,50000,First Owner,Diesel,Manual,25.83
2561,Maruti Swift Dzire VXI 1.2 BS IV,706000,657000,2018,2,Dealer,18677,First Owner,Petrol,Manual,22
2562,Renault KWID 1.0 RXT Optional,398000,450000,2018,2,Dealer,9200,First Owner,Petrol,Manual,23.01
2563,Maruti Ciaz Alpha BSIV,969000,994999,2019,1,Individual,10000,First Owner,Petrol,Manual,21.56
2564,Maruti Swift Dzire VXI,674000,585000,2015,5,Individual,10000,First Owner,Petrol,Manual,20.85
2565,Ford Figo Diesel ZXI,902000,280000,2010,10,Dealer,54523,First Owner,Diesel,Manual,20
2566,Toyota Fortuner 3.0 Diesel,3879999,1185000,2010,10,Dealer,131000,First Owner,Diesel,Manual,11.5
2567,Maruti Swift Dzire VXI,674000,450000,2015,5,Individual,30000,First Owner,Petrol,Manual,20.85
2568,Maruti Ciaz 1.4 Alpha,1013000,850000,2018,2,Dealer,65120,First Owner,Petrol,Manual,20.73
2569,Tata Safari 2005-2017 DICOR 2.2 EX 4x2,1485000,105000,2007,13,Dealer,74555,First Owner,Diesel,Manual,11.57
2570,Hyundai i20 Sportz 1.4 CRDi,934000,415000,2013,7,Individual,90000,First Owner,Diesel,Manual,21.9
2571,Hyundai i20 Asta Option 1.2,787000,621000,2016,4,Dealer,51000,First Owner,Petrol,Manual,18.6
2572,Mahindra Bolero 2011-2019 ZLX BSIII,963000,625000,2014,6,Dealer,89000,First Owner,Diesel,Manual,15.96
2573,Hyundai Grand i10 1.2 Kappa Sportz BSIV,701000,400000,2014,6,Dealer,44904,First Owner,Petrol,Manual,18.9
2574,Ford Aspire 1.5 TDCi Titanium,998000,675000,2017,3,Dealer,54000,First Owner,Diesel,Manual,25.83
2575,Maruti S-Presso VXI Plus,423000,490000,2020,0,Individual,1000,First Owner,Petrol,Manual,21.7
2576,Hyundai i20 Asta 1.4 CRDi,959000,600000,2015,5,Dealer,72000,First Owner,Diesel,Manual,21.27
2577,Maruti Alto 800 LXI,352000,327000,2018,2,Trustmark Dealer,15453,First Owner,Petrol,Manual,24.7
2578,Renault Triber RXZ,607000,800000,2020,0,Individual,5600,First Owner,Petrol,Manual,20
2579,Mahindra Thar CRDe,1487000,799000,2016,4,Dealer,62000,First Owner,Diesel,Manual,16.55
2580,Tata Hexa XM,1410000,800000,2018,2,Individual,25000,First Owner,Diesel,Manual,17.6
2581,Tata Hexa XM Plus,1410000,1380000,2019,1,Dealer,34293,First Owner,Diesel,Manual,17.6
2582,Maruti S-Presso VXI,430000,420000,2019,1,Individual,5000,First Owner,Petrol,Manual,21.7
2583,Maruti Wagon R VXI,555000,310000,2014,6,Dealer,76470,First Owner,Petrol,Manual,20.51
2584,Maruti Wagon R VXI,557000,309000,2011,9,Dealer,78010,First Owner,Petrol,Manual,20.51
2585,Mahindra Marazzo M8 8Str,1455000,1335000,2019,1,Dealer,33000,First Owner,Diesel,Manual,17.3
2586,Hyundai i20 Sportz 1.4 CRDi,974000,540000,2015,5,Dealer,90000,First Owner,Diesel,Manual,21.9
2587,Maruti Alto 800 LXI,365000,300000,2015,5,Dealer,35236,First Owner,Petrol,Manual,22.74
2588,Hyundai Verna CRDi 1.6 SX,1310000,900000,2018,2,Dealer,75000,First Owner,Diesel,Manual,22
2589,Mahindra XUV500 W8 2WD,1667000,850000,2015,5,Dealer,63516,First Owner,Diesel,Manual,15.1
2590,Maruti Ciaz 1.4 Alpha,980000,840000,2018,2,Dealer,14000,First Owner,Petrol,Manual,20.73
2591,Maruti Wagon R VXI 1.2,555000,490000,2019,1,Dealer,11400,First Owner,Petrol,Manual,20.52
2592,Maruti Celerio VXI AT,530000,465000,2014,6,Dealer,39000,First Owner,Petrol,Automatic,23.1
2593,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,1030000,850000,2018,2,Individual,60000,First Owner,Diesel,Manual,23
2594,BMW 3 Series GT 320d Luxury Line,5144000,3000000,2015,5,Dealer,40000,First Owner,Diesel,Automatic,19.59
2595,Honda City 2017-2020 GXi,1277000,235000,2008,12,Dealer,70000,First Owner,Petrol,Manual,17.7
2596,Maruti XL6 Alpha,1131000,1150000,2020,0,Dealer,14000,First Owner,Petrol,Manual,19.01
